label,text
1,user accesses the main inventory screen.
1,system displays the add department button.
1,user navigates to a department or category see view inventory.
1,system displays the add category buttons.
1,user clicks the desired add category button.
1,system displays the appropriate screen for the category type.
1,user enters category data.
1,system validates the category data.
1,system adds the new category to the inventory.
1,user is taken back to the parent department or category of the added category.
1,user navigates to a category see view inventory.
1,system displays the edit category button.
1,user clicks the edit category button.
1,system displays the appropriate screen for the category type.
1,user edits category data.
1,system validates the category data.
1,system updates the category information.
1,user is taken back to the category screen user navigates to a category see view inventory.
1,system displays the edit category button.
1,user clicks the edit category button.
1,system displays the appropriate screen for the category type.
1,user clicks the delete category button.
1,system validates the category deletion.
1,system removes the category from the inventory.
1,user is taken back to the parent department or category of the deleted category.
1,user navigates to a department or category see view inventory.
1,system displays the move categories button.
1,user clicks the move categories button.
1,system displays the move categories screen.
1,user selects categories to move.
1,user selects target location on categorized inventory for the moved categories.
1,user may select an existing department or category.
1,user may choose to create a new category to hold the moved categories.
1,in this case user selects the parent department or category of the new category to be created.
1,user enters the new category data.
1,user selects the type of move to be performed.
1,move selected categories as is and make them children of the target department or category merge the contents items of the selected categories and add them to the target department or category.
1,system validates the entered data.
1,system moves the selected categories.
1,user is taken back to the parent department or category of the moved categories add category.
1,user cancels the category add and is taken back to parent department or category.
1,during data validation data is deemed invalid and an error message is presented to the user.
1,user cancels the category edit and is taken back to category screen.
1,during data validation data is deemed invalid and an error message is presented to the user.
1,user cancels the category deletion and is taken back to the category screen.
1,during deletion validation deletion is deemed invalid and an error message is presented to the user.
1,user cancels the category move and is taken back to the parent department or category screen.
1,during move validation move is deemed invalid and an error message is presented to the user.
1,user accesses the main inventory screen.
1,system displays the edit attributes button.
1,user clicks the edit attributes button.
1,system displays the edit attributes screen which displays all existing item attributes and their attribute x department assignments.
1,optionally user filters view by attribute status active inactive all.
1,user clicks the done button.
1,user is taken back to the main inventory screen.
1,view item details.
1,user accesses the main inventory screen.
1,system displays the edit details button.
1,user clicks the edit details button user accesses the main inventory screen.
1,the screen displays all inventory departments in matrix format see view inventory.
1,user drills down to the appropriate category for the item.
1,if in donation processing mode the item entry screen is presented automatically.
1,if in inventory management mode the list of existing inventory items in that category is displayed.
1,user clicks the add item button.
1,the appropriate item entry screen is presented.
1,user fills in item information.
1,user confirms the addition of the new item.
1,inventory is updated.
1,system gives the option of printing an item tag.
1,user prints item tag s s for unique or stock item s.
1,user attaches tag s to the item s user accesses the main inventory screen.
1,the screen displays all inventory departments in matrix format with option to select and or edit items to move them to a new department category.
1,user drills down to the desired existing inventory item see view inventory.
1,the item detail screen is presented.
1,user modifies item information.
1,the system validates item information.
1,item information is updated in the inventory.
1,system gives the option of re printing then item tag.
1,user optionally re prints the item tag and attaches it to the item.
1,user accesses the main inventory screen.
1,the screen displays all inventory departments in matrix format.
1,user drills down to the desired existing inventory item see view inventory.
1,the item detail screen is presented.
1,user changes the item quantity.
1,the system displays a confirmation screen where a reason for the adjustment must be specified by the user.
1,the system validates the item change.
1,item information is updated in the inventory.
1,split inventory item.
1,user accesses the main inventory screen.
1,the screen displays all inventory departments in matrix format.
1,user drills down to the desired existing inventory item see view inventory.
1,the item detail screen is presented.
1,user clicks the split item button.
1,the system displays the item split screen.
1,user builds the list of items that the original item will be split into.
1,user can clone the original item to add new item s to the list that have similar attributes as the original item.
1,user can add new items to the list by selecting unique and stock categories in the same way as adding a new item to the inventory see add item to inventory.
1,once the list is complete user confirms the split.
1,the system validates the split.
1,item information is updated in the inventory.
1,the original split item is updated in the inventory.
1,any new items that were added to the split list are added to the inventory maintaining parental history.
1,view inventory item history.
1,user accesses the main inventory screen.
1,the screen displays all inventory departments in matrix format.
1,user drills down to the desired existing inventory item see view inventory.
1,the item detail screen is presented.
1,user clicks the item history button.
1,the system displays the item history screen containing current and historical information about the inventory item.
1,modify inventory item.
1,user cancels the operation and is taken back to the item selection screen.
1,during data validation data is deemed invalid and an error message is presented to the user accesses the acquisitions screen.
1,the screen displays a list of all acquisitions latest ones at the top of the list.
1,user may optionally filter the acquisitions displayed on the screen by changing filtering options.
1,user clicks on an acquisition record.
1,system display the details for that acquisition including expected items donor or primary contact arrives at receiving dock with a valid donation number.
1,receiving associate locates donation request in the system see view acquisitions.
1,system displays donation request information.
1,receiving associate enters information about each donated item into the donation request see add item to inventory.
1,a new item can be added to the list by cloning an existing item.
1,a new item can be added by clicking the add item button.
1,an item can be removed by setting the received quantity to zero.
1,receiving associate prints a donation receipt.
1,receiving associate optionally writes information to the receipt by hand such as condition.
1,donation receipt is given to the donor or primary contact.
1,receiving associate prints item tags for unique and stock items see add item to inventory.
1,receiving associate attaches printed tags to corresponding items.
1,receiving associate closes donation request buyer arrives at the cashier or checkout desk with the items to be purchased.
1,sales associate scans the item tags.
1,sales associate processes the sale of the items in quickbooks pos.
1,the system updates the inventory to reflect the sale user selects the option to parse a transformation language program from currently open application alt.
1,user selects a transformation language program file.
1,tlp to parse refer to use case alt.
1,the hats gui compares the time stamps on the lexical specification and grammar files to the time stamp on the application s parser file.
1,the parser file is the youngest of the three files alt alt.
1,the hats gui sends a message to the host os to start either the parsetarget or the parseprogram program and sends the names of the target file or program file the output file and the parser file to the host os.
1,hats sml parses the input file alt and writes the output to the output file.
1,end of use case.
1,alt the user selects the option to parse a target file instead of a transformation language program.
1,a a the user selects a target file to parse refer to use case alt.
1,a b use case continues with step.
1,alt a file is already selected.
1,a a step is skipped.
1,a b use case continues with step.
1,alt no parser file exists.
1,a a the hats gui sends a message to the host os to start the makeparser program and sends the lexical specification and grammar file names and the parser file name.
1,a b the host os starts the makeparser program.
1,a c makeparser writes the output parser file alt.
1,a d use case continues with step.
1,user selects the option to execute a transformation language program from the currently selected application.
1,user selects a transformation language program file refer to use case alt.
1,the hats gui compares the time stamp on the lexical specification and grammar files to the time stamp on the parser file.
1,the parser file is younger alt alt.
1,the hats gui compares the time stamp of the parsed program file and the parser the transformation language program and the user defined library files.
1,the parsed program file is younger than any of these files alt alt.
1,the hats gui clears the displays for the standard error and standard output.
1,the hats gui sends a message to the host os to start the applytransformations program and sends the names of the parsed program file and the user defined library file to the host os.
1,the hats gui redirects the standard error and standard output streams of the applytransformation process and collects data written to these streams for later display.
1,the hats sml applytransformation program writes output sdts to files named in the transformation language program.
1,the transformation language program contains all references to input and output files.
1,the hats gui does not handle file input and file output for applytransformaion.
1,end of use case.
1,parse transformation language program refer to use case.
1,run transformation refer to use case.
1,prepare application refer to use case.
1,display sdt transformation output use case.
1,display pretty printed text transformation output refer to use case.
1,system requests from host os a list of existing applications within current directory.
1,host os returns list of files within current directory.
1,system displays list of existing applications within current directory alt alt.
1,user selects an application within the list alt.
1,system sets selected application as the current application.
1,end of use case.
1,system requests from host os a list of files in the current directory.
1,host os only returns list of files in the current directory.
1,system displays this list of files alt alt.
1,user selects a file within the list alt alt.
1,system sets selected file as the current file.
1,end of use case.
1,user selects option to close the currently selected application.
1,system asks for confirmation from user to close application.
1,user confirms to close application alt.
1,system checks that the changes to currently selected application s configuration have been saved alt.
1,system sets currently selected application to none.
1,end of use case.
1,user selects to save a currently open application using a different directory name.
1,system requests user for a name to save the open application.
1,user enters or selects a name for the application to be saved alt.
1,system confirms that application name is unique alt.
1,system requests host os to create new directory with the given name.
1,host os creates new application with the entered name alt.
1,system requests host os to copy core files configuration files and.
1,tlp files to the new directory.
1,host os copies all files from selected application to created application alt.
1,system informs user that application has been saved with entered name.
1,user selects option to edit a file within the currently selected application.
1,user selects file to edit use case.
1,system checks application to determine if editor is associated with this file.
1,an editor is associated with the file if the configuration explicitly associates this file with an editor or an editor is associated with files of this type.
1,an editor is associated with this file alt.
1,the hats gui sends message to host os to start the preferred editor in new process and passes file name to editor.
1,host os initiates process puts editor in process sends the filename as argument.
1,alt no editor is associated with this file.
1,a a the hats gui prompts the user to select a configured editor.
1,a b the user selects a configured editor.
1,a c the hats gui prompts the user to associate the editor with the file or the file type.
1,a d the user selects associating the editor with the file type alt alt.
1,a e the hats gui associates the editor with the file type by updating the application configuration.
1,a f the selected editor becomes the preferred editor.
1,a g use case continues with step.
1,user selects option to create a new application.
1,close existing application if one is selected refer to use case scenario.
1,system asks user to enter a name and location for new application.
1,user enters name and location for new application alt.
1,system requests host os to create new application.
1,host os creates new application alt.
1,system informs user that new application has been created.
1,user selects option to configure editors.
1,the system prompts for editor name and configuration information.
1,editor configuration information must be sufficient to start the editor on the host os.
1,user enters editor name and parameters alt.
1,system saves editor configuration in application configuration.
1,user selects option to configure the colors and shapes of the graphical representation of an sdt.
1,system displays a list containing types of displayed nodes and their corresponding current configured colors.
1,the types of displayed nodes are given in table.
1,user selects a type of node from list.
1,system displays a list of supported colors and shapes.
1,user selects a color and a shape from the list for the selected type of displayed node alt.
1,system sets the selected values as the color and shape for the type of displayed node selected.
1,user selects option to configure the default number of levels to expand in response to a single mouse click.
1,system asks user to select or enter a number of levels to expand.
1,user enters or selects a number of levels to expand.
1,number entered is a natural number.
1,system sets the entered or selected number of levels as the default number of levels to expand.
1,end of use case.
1,user selects option to associate file types with editors alt.
1,system displays a list of configured editors.
1,refer to use case.
1,system displays a list of file types.
1,user selects a file type from list alt.
1,user selects an editor from list alt.
1,system associates the selected file type with the selected editor.
1,when the user tries to edit a file of the type selected the system will request the host os to initiate a process with the associated editor.
1,refer to use case.
1,end the user clicks the mouse in the navigation window sdt display.
1,the system determines the node in the displayed graph closest to the mouse cursor and redraws the displayed graph with this node in the center of the main display.
1,the system updates the locator box in the navigation window display.
1,user points the mouse cursor at a node and clicks the left mouse button alt.
1,system displays the tree by expanding descendants of the node in the displayed graph.
1,the number of levels to expand is given by the application configuration.
1,if fewer than this number of levels exist then all descendants of the chosen node are displayed.
1,system changes the shape and color of selected node as specified in the application configuration to indicate that it has become an expanded node.
1,user points the mouse cursor at a node and clicks the left mouse button.
1,system removes all descendants of the selected node from the displayed graph.
1,system changes the shape and color of selected node as specified in the application configuration to indicate that it has become a collapsed node.
1,user selects one or more displayed nodes.
1,refer to use case.
1,user selects option to hide selected displayed nodes.
1,system removes the selected nodes from the displayed graph.
1,system changes the types of the displayed nodes remaining on the screen to indicate that there are hidden nodes in the displayed graph.
1,user selects option to search sdt for a desired sub tree.
1,system asks user for the criteria to search nodes.
